stimulus,onset,offset,adverb_onset,referent_onset,duration,adverb_onset_rel,referent_onset_rel,rerecorded
e_badehose,711.553,713.695,711.803,712.928,2.142,0.3,1.425,
e_baguette,492.707,494.645,492.955,494.105,1.938,0.298,1.448,
e_banjo,601.091,603.143,601.359,602.584,2.052,0.318,1.543,
e_becher,651.488,653.463,651.751,653.025,1.975,0.313,1.587,
e_bierkrug,369.946,372.006,370.162,371.262,2.06,0.266,1.366,
e_bleistift,563.15,565.42,563.422,564.643,2.27,0.322,1.543,
e_bock,574.194,576.117,574.44,575.722,1.923,0.296,1.578,
e_bohrer,403.049,405.05,403.413,404.492,2.001,0.414,1.493,
e_brillenetui,454.278,456.538,454.545,455.661,2.26,0.317,1.433,
e_broccoli,482.903,484.972,483.176,484.333,2.069,0.323,1.48,
e_buegeleisen,586.929,589.279,587.248,588.5,2.35,0.369,1.621,
e_chameleon,590.534,592.926,590.84,592.138,2.392,0.356,1.654,
e_delphin,542.955,545.129,543.213,544.471,2.174,0.308,1.566,
e_drachen,610.535,612.6,610.812,612.091,2.065,0.327,1.606,
e_druckbleistift,553.518,556.038,553.817,554.997,2.52,0.349,1.529,
e_duschkopf,818.135,820.28,818.384,819.617,2.145,0.299,1.532,
e_eisbaer,34.138,36.361,34.403,35.669,2.223,0.315,1.581,
e_flaschebier,642.595,644.749,642.846,644.004,2.154,0.301,1.459,
e_garn,525.658,527.654,525.913,527.105,1.996,0.305,1.497,
e_gartenzwerg,605.515,607.946,605.775,607.057,2.431,0.31,1.592,
e_geier,546.922,548.961,547.184,548.482,2.039,0.312,1.61,
e_geschenkband,576.54,578.872,576.796,577.996,2.332,0.306,1.506,
e_gewehrkugel,753.103,755.341,753.376,754.533,2.238,0.323,1.48,
e_giesskanne,346.924,348.725,347.14,348.095,1.801,0.266,1.221,
e_golfball,633.043,635.14,633.328,634.49,2.097,0.335,1.497,
e_gorilla,551.719,553.745,551.973,553.189,2.026,0.304,1.52,
e_grillzange,365.378,367.458,365.649,366.721,2.08,0.321,1.393,
e_gummiband,571.686,573.883,571.943,573.154,2.197,0.307,1.518,
e_haarschneider,398.301,400.437,398.577,399.659,2.136,0.326,1.408,
e_hahn,505.207,507.153,505.477,506.69,1.946,0.32,1.533,
e_harke,63.325,65.129,63.56,64.596,1.804,0.285,1.321,
e_heftklammerentferner,332.7,335.19,332.943,334.079,2.49,0.293,1.429,
e_hocker,739.089,740.968,739.367,740.499,1.879,0.328,1.46,
