"DP","group","submission_id","item_id","block","trialNumber","xpos_mean","xpos_side","xpos_side_num"
"actually","reliable",2936,101,2,14,-0.0480297226161301,"competitor",0
"actually","reliable",2936,105,3,29,-0.0230330700558309,"competitor",0
"actually","reliable",2936,106,5,57,0.113725424917836,"target",1
"actually","reliable",2936,109,7,72,-0.0158117161000501,"competitor",0
"actually","reliable",2936,110,10,118,-0.021772962313004,"competitor",0
"actually","reliable",2936,111,9,96,0.048385558655519,"target",1
"actually","reliable",2936,117,10,113,0.0114988794751987,"target",1
"actually","reliable",2936,122,4,40,-0.0237581782191567,"competitor",0
"actually","reliable",2936,123,8,88,0.00362618688951459,"target",1
"actually","reliable",2936,126,6,66,-0.0177923650172601,"competitor",0
"actually","reliable",2936,127,7,75,-0.0103278038591723,"competitor",0
"actually","reliable",2936,129,5,54,0.00111947130801073,"target",1
"actually","reliable",2936,133,6,70,-0.0136725542465719,"competitor",0
"actually","reliable",2936,135,3,27,0.00322378839695554,"target",1
"actually","reliable",2936,137,10,116,-0.030938779789392,"competitor",0
"actually","reliable",2936,140,1,2,-0.0342335578423889,"competitor",0
"actually","reliable",2936,149,7,82,0.0266949928413003,"target",1
"actually","reliable",2936,155,9,97,-0.0149607020100271,"competitor",0
"actually","reliable",2936,159,9,98,0.0475711279378664,"target",1
"actually","reliable",2941,101,10,116,-0.111025994586589,"competitor",0
"actually","reliable",2941,104,7,79,-0.0364292901279619,"competitor",0
"actually","reliable",2941,106,10,112,0,"competitor",0
"actually","reliable",2941,111,8,86,0.0389144458544839,"target",1
"actually","reliable",2941,112,9,104,0,"competitor",0
"actually","reliable",2941,115,4,46,0.0378417743872289,"target",1
"actually","reliable",2941,116,7,82,-0.0797625074628559,"competitor",0
"actually","reliable",2941,118,6,64,0.0141677948717949,"target",1
"actually","reliable",2941,119,1,2,0.0158320957780284,"target",1
"actually","reliable",2941,125,6,67,0.0642765027559357,"target",1
"actually","reliable",2941,126,5,51,0.00417057189827653,"target",1
"actually","reliable",2941,131,10,109,-0.10489366959843,"competitor",0
"actually","reliable",2941,132,2,18,-0.0473847114947751,"competitor",0
"actually","reliable",2941,133,4,37,-0.0113587330046317,"competitor",0
"actually","reliable",2941,137,9,95,0,"competitor",0
"actually","reliable",2941,138,8,91,-0.0315927128427128,"competitor",0
"actually","reliable",2941,141,2,17,-0.00147476447981498,"competitor",0
"actually","reliable",2941,142,8,88,-0.00319698975681137,"competitor",0
"actually","reliable",2941,144,5,57,-0.0111166759413838,"competitor",0
"actually","reliable",2941,145,3,24,0.0526039327753963,"target",1
"actually","reliable",2941,149,9,102,0,"competitor",0
"actually","reliable",2941,150,6,60,-0.0495270507781293,"competitor",0
"actually","reliable",2941,155,5,58,0.0107783202122825,"target",1
"actually","reliable",2941,156,1,4,-0.153873816658336,"competitor",0
"actually","reliable",2941,159,7,73,-0.175452703386636,"competitor",0
"actually","reliable",2941,160,3,28,0.00832348662735534,"target",1
"actually","reliable",2949,101,10,116,-0.0291595197255575,"competitor",0
"actually","reliable",2949,104,7,79,-0.00334141414141414,"competitor",0
"actually","reliable",2949,106,10,112,0.0571916010498688,"target",1
"actually","reliable",2949,108,4,43,-0.0218607516943931,"competitor",0
"actually","reliable",2949,111,8,86,0.01998114097124,"target",1
"actually","reliable",2949,112,9,104,0.0110892838249585,"target",1
"actually","reliable",2949,115,4,46,0,"competitor",0
